student_id,age,parental_education,study_hours_week,attendance_rate,sleep_hours,previous_scores,final_grade,gender_  F ,gender_  M ,gender_F,gender_Female,gender_M,gender_Male,extracurricular_  Yes ,extracurricular_NO,extracurricular_No,extracurricular_YES,extracurricular_Yes,tutoring_  Yes ,tutoring_NO,tutoring_No,tutoring_YES,tutoring_Yes,internet_quality_  Good ,internet_quality_  Poor ,internet_quality_EXCELLENT,internet_quality_Excellent,internet_quality_GOOD,internet_quality_Good,internet_quality_POOR,internet_quality_Poor,family_income_  Low ,family_income_  Medium ,family_income_HIGH,family_income_High,family_income_LOW,family_income_Low,family_income_MEDIUM,family_income_Medium,health_status_  Good ,health_status_  Poor ,health_status_EXCELLENT,health_status_Excellent,health_status_GOOD,health_status_Good,health_status_POOR,health_status_Poor,study_efficiency,sleep_quality,engagement_score
STD00664,24,,-0.045636518387175605,0.863057790975188,0.03824991460795266,0.4826538670014639,98.42,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.5057337967142289,0.0330118868065292,0.863057790975188
STD02081,25,3.0,0.5086306389886175,0.39508286433302514,-0.045889166359387876,1.9856406639469715,100.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1.3161874170062862,-0.018130023287121662,0.0
STD00794,24,3.0,0.833614619752122,-1.129545807877487,0.17287244415569814,-1.3884997245848747,97.51,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.7572473024743769,-0.1952673445936038,-0.0
STD01625,24,2.0,0.518599472754369,-0.6912521662231995,0.9132963566682974,0.8519035051559435,100.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.5609797187739031,-0.6313180849507165,-0.6912521662231995
STD00882,25,2.0,-0.33473269759397445,-2.9519767061330118,0.9048824485715635,-0.9824334069663117,78.8,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-1.4767498769490304,-2.6711919099718586,-2.9519767061330118
STD01715,22,2.0,-1.8021450279126212,-0.9752031259405367,-0.16368387971366552,-0.6705744750352549,73.48,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.8359766023611152,0.1596250311628414,-0.9752031259405367
STD00660,18,2.0,-0.045636518387175605,-0.9712456212754867,0.36639233038058167,-0.5254734442062221,87.97,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.5506009548041376,-0.3558569465510614,-0.9712456212754867
STD00805,23,,-0.7374735817303422,0.6691400623877372,0.6103956651858701,0.502145050247155,88.29,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.9127410245294603,0.40844019348367744,0.6691400623877372
STD02311,20,3.0,-0.7135483806925381,0.02060398540266924,-0.5759653764536358,-0.8514093418147218,93.84,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-2.972262275469508,-0.011867182208893604,0.02060398540266924
STD02267,20,3.0,0.7897517511828148,-2.019984357513737,-0.9630051489034036,0.2520081985941206,93.53,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.1408062310471678,1.9452553369900623,-0.0
STD01042,18,,-0.3167887968156215,-0.8841805186443873,-0.12161433922999526,-1.4610502399993908,89.72,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,-2.138504511034923,0.10752902953497166,-0.0
STD02119,25,4.0,0.2853287626357798,1.0817099237191998,0.6861208380564767,1.6911072282343071,100.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1.3157001363343115,0.7421837193962249,0.0
STD02283,24,3.0,-1.9915528694619034,0.8561321578113498,-0.003819625875717607,1.437721846040325,84.59,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-1.4499699313265553,-0.0032701045430101813,0.0
STD02147,20,3.0,-0.11741212150058793,-0.7783172688542997,-1.063972046064212,-0.19195764200217513,99.01,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,-0.21749408379428928,0.8281078170300187,-0.7783172688542997
STD00411,21,3.0,-0.2509944939616604,2.3589945543640884,-1.652945612835598,-1.413405125398813,89.18,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-1.8870423701884835,-3.8992896993391866,2.3589945543640884
STD02342,22,4.0,-0.3028324295435691,-0.09663709029943722,0.08873336318835684,-0.8135098188369891,99.88,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-1.1668784569316524,-0.008574934031006,-0.09663709029943722
STD01657,22,2.0,1.0848292306490646,0.5256805182796759,-0.003819625875717607,0.581192626743569,98.7,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.27877229376845786,-0.0020079029099816926,0.5256805182796759
STD00235,19,,0.2773536956231786,0.6968425950430873,-0.28147859306794243,0.14805522128376838,97.76,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.11590777228818926,-0.19614627324254216,0.0
STD01105,19,2.0,0.6262628774244873,0.010215535656912597,0.7870877352172858,-0.9531966320977747,97.15,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.5861270310783656,0.008040522824230763,0.010215535656912597
STD01560,21,3.0,-0.045636518387175605,-0.3014379567157747,0.7618460109270841,-0.2753365925531871,95.23,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.2885028585627382,-0.22964930486592403,-0.0
STD01789,18,3.0,0.9552343916942927,0.02060398540266924,-0.16368387971366552,-0.18437773740662858,100.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.09429955722436814,-0.0033725402682726322,0.0
STD00573,23,3.0,-0.045636518387175605,4.79780680420115,1.7967567068253767,-0.431266058518715,92.22,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.45188868479114264,8.620491553500843,4.79780680420115
STD01617,18,2.0,-0.20513785863920259,1.0520286387313251,-0.07113089064959034,-0.9088000480381455,100.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,-1.1433429782959437,-0.07483173406183527,1.0520286387313251
STD01317,25,,-1.5489366502625288,1.1084230802082884,-1.3079753808695005,-2.343567703623735,64.32,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4.2692862691950415,-1.449790100499981,1.1084230802082884
STD02014,22,,-0.09548068721593399,0.02060398540266924,-0.003819625875717607,0.4804881799741654,81.47,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.5312083149393974,-7.86995157869433e-05,0.02060398540266924
STD01581,18,3.0,0.3790358000338456,-0.13225463228488718,-0.5927931926471036,0.2714993818398116,100.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.19687623906003615,0.07839964571452697,-0.0
STD01200,23,,-0.1572874565635945,-0.549771374447662,-0.07113089064959034,0.00403703396838411,84.91,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.004790523174037412,0.03910572751811163,-0.549771374447662
STD00814,23,,-0.045636518387175605,-0.7308272128736993,-0.4329289388091557,-1.8205542865310251,85.66,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-1.907611011534498,0.31639624972226355,-0.7308272128736993
STD02034,21,4.0,-0.045636518387175605,-0.45083375782141205,-0.6601044574209763,1.607728277683296,100.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.6846079179038989,0.29759737309376305,-0.45083375782141205
STD01818,21,2.0,-1.0644513292469973,0.02060398540266924,-0.003819625875717607,0.41226903861424646,85.93,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-6.396594817064286,-7.86995157869433e-05,0.02060398540266924
STD00440,19,2.0,-0.392551933435334,-0.25691602923396195,0.46735922754139075,0.0376051828915189,93.45,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.061906827861333946,-0.12007207696578583,-0.25691602923396195
STD01193,22,4.0,-0.045636518387175605,0.006258030991862681,-0.0963726149397928,-0.2753365925531871,100.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.2885028585627382,-0.0006031028110600718,0.006258030991862681
STD00042,20,3.0,5.943638808076432,1.0312517392398133,0.004594282221016297,-0.6781543796308015,99.17,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.09766556100844592,0.004737861530981609,1.0312517392398133
STD01721,19,2.0,-1.2399028035242265,-2.291073427069662,-0.03747525826265397,0.9991702230122756,83.31,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-4.1648959842662885,0.08585856837813931,-2.291073427069662
STD00214,22,,0.08196455381444562,-0.7169759465460243,-0.6348627331307739,-1.4231507170216586,77.5,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-1.3153395016540679,0.4551813090132326,-0.0
STD01783,25,,-0.6617104451106294,-1.6608408091604498,-0.9293495165164672,-1.0918006018449111,79.78,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-3.227414462151981,1.5435016030040822,-1.6608408091604498
STD01214,21,2.0,0.40694853457795044,0.7581839173513628,0.669293021863009,-1.972152378441956,100.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,-1.4017231831678567,0.5074472051720275,0.0
STD00830,25,,-1.0584700289875462,-0.23218162507739945,0.04666382270468657,0.48698524105606183,77.03,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-8.328801088157274,-0.010834482187897777,-0.0
STD02148,25,4.0,-0.807255418090604,1.0658799050590002,-0.4413428469058904,0.34621558428162696,94.27,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.7962402929923782,-0.4704184717585193,0.0
STD00463,25,2.0,0.327197864451937,-1.3392935551251373,-0.003819625875717607,0.2011145534525934,92.64,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.151533210562875,0.005115600318337799,-1.3392935551251373
STD00606,18,,-0.045636518387175605,-0.11840336595721211,-0.34878985784181515,1.303449250347786,96.73,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.365778631999859,0.04129789318020843,-0.11840336595721211
STD02299,24,2.0,-1.919777266348491,0.47917983846533846,-1.164938943225021,-0.42585184095046785,82.27,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.46299452762199317,-0.5582152546365476,0.47917983846533846
STD02208,22,4.0,-0.17523135734194747,-1.8181516195961869,-0.15526997161693162,0.4166004126688444,89.26,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.5051118472766261,0.2823043503699782,-1.8181516195961869
STD01840,23,2.0,-1.0903702970379516,-0.03727452032368709,-0.23940905258427217,0.8150868256918616,89.82,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,-9.019410717988016,0.008923857596227124,-0.0
STD00690,25,2.0,-0.183206424354549,0.02060398540266924,0.42528968705772047,0.4274288478053396,93.12,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.5233009423067199,0.008762662504043041,0.02060398540266924
STD02373,21,,0.6402192446965397,-1.4263586577562368,-0.0879587068430589,0.2953219391401005,92.41,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.18005028296978595,0.12546066303063982,-1.4263586577562368
STD02345,27,,-0.045636518387175605,0.912526599288313,-1.5267369913845872,-0.23202285200720718,80.28,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.24311790683262596,-1.3931881147558478,0.912526599288313
STD01863,22,2.0,-0.045636518387175605,-1.8883973274008246,-0.003819625875717607,1.0966261392407315,88.97,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1.1490654874885726,0.007212971295376163,-1.8883973274008246
STD01205,18,3.0,0.606325209892984,-2.075389422824437,0.42528968705772047,-1.35493157566174,90.36,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.8434976723997302,-0.882641718155908,-2.075389422824437
STD00029,23,2.0,-0.8770372544508657,0.4574135628075622,1.3760613019886727,0.00403703396838411,91.35,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.03283135839522193,0.6294291027842516,0.0
STD00884,24,3.0,-0.045636518387175605,0.6928850903780381,-1.383700553740108,-0.6998112499037918,91.51,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-0.7332753855178401,-0.958745483234356,0.0
STD01169,24,3.0,-1.4293106450735087,0.36935908401020034,-0.7526574464850515,0.009451251536632078,85.84,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,-0.02201494802211063,-0.278000865007175,0.36935908401020034
STD00715,21,2.0,1.4716199807602295,0.1101425284494256,-0.735829630291583,0.06575911424640572,99.34,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.02660567350899118,-0.081046135988321,0.1101425284494256
STD02187,22,2.0,-2.03142820452491,0.27635772438152556,-1.3752866456433732,0.2801621299490074,91.38,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.2716254303691976,-0.38007108776230414,0.0
STD02027,21,,-0.045636518387175605,-1.184950873188187,-2.519578146799209,-1.830299878153871,88.01,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-1.9178226256737738,2.9855763251155967,-1.184950873188187
STD00507,18,,-0.3466952981128766,0.09332313362296293,-0.5591375602601673,-0.18221205037933,84.29,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.27890821825251794,-0.05218046924977708,0.09332313362296293
STD00988,20,,-0.37062049915068046,-0.8040410491771245,-1.164938943225021,0.02244537370042582,78.52,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.03566270218546488,0.9366587301379365,-0.8040410491771245
STD00459,24,3.0,-0.045636518387175605,1.0005810780856754,2.5708362517249124,2.1588956261308927,92.31,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2.26213142866958,2.5723301083326495,0.0
STD01738,21,,-0.5600283406999623,-0.8307542056662124,-1.7959820504800774,-0.5427989404246139,75.42,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-1.23371341983292,1.4920196417373521,-0.8307542056662124
STD00697,25,2.0,-0.12738095526633939,0.5029248664556379,-0.7442435383883169,0.268250851298863,87.32,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.30740888927165017,-0.37429858215441575,0.5029248664556379
STD01915,23,2.0,0.41292983483740137,-0.9959800254320493,0.14763071986549567,-0.9077172045244954,87.36,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.6424361508573811,-0.14703724812618812,-0.0
STD00105,20,,-0.10744328773483611,-0.11939274212347442,-1.2154223918054259,0.18595474426150033,83.07,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.20833941609108222,0.1451126121959217,-0.11939274212347442
STD01248,21,2.0,-0.045636518387175605,0.02060398540266924,0.8628129080878925,-0.2948277757988781,93.06,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.3089260868412888,0.017777384563477532,0.02060398540266924
STD01731,18,4.0,0.4966680384697154,1.2400101103212007,-0.3235481335516127,-0.2363542260618051,100.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.15792027355876995,-0.40120295677955387,1.2400101103212007
STD00742,21,4.0,0.9851408929915478,1.18064754034545,0.8375711837976908,-0.46375136392820054,96.78,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.23361130968862426,0.9888763580149704,1.18064754034545
STD01159,22,4.0,-0.1971627916266014,-0.20250034008952475,0.9132963566682974,1.5752429722738113,100.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1.9620951244466585,-0.18494282282785413,-0.0
STD00140,24,,-0.19118149136715018,0.010215535656912597,-0.13002824732672916,1.3565085825166123,88.83,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1.6771482947509768,-0.0013283081969720518,0.0
STD01382,21,2.0,-0.7952928175717019,0.1892926217504253,-0.003819625875717607,0.0993272631695405,96.2,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.4852163074655743,-0.00072302699612035,0.0
STD00662,20,,-0.9687505250957811,0.07749311496276257,-0.02906135016592007,-0.010039931709058916,93.41,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.3212832132325989,-0.002252054549380743,0.0
STD02088,22,3.0,-0.5799660082314656,-1.4936362370620868,-0.3824454902287515,-1.4231507170216586,90.5,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-3.38817987332298,0.5712344429066375,-0.0
STD02325,22,2.0,-0.6557291448511784,-0.47655753814423685,-0.003819625875717607,-0.32514739418106425,91.09,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.9444522802852694,0.0018202715039640075,-0.47655753814423685
STD01867,23,,-0.8989686887355194,-0.5042600707995869,-0.003819625875717607,0.00403703396838411,81.76,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.03995824579387996,0.0019260848145172945,-0.0
STD00763,21,,-0.8371619193878589,-0.11840336595721211,0.3748062384773163,0.16646356101580934,84.68,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.022264327791382,-0.0443783202174758,-0.0
